2005;PARANÁ;Cédulas - 1a. família;100.00;56,00
2005;PERNAMBUCO;Cédulas - 1a. família;1.00;7,00
2005;PERNAMBUCO;Cédulas - 1a. família;2.00;48,00
2005;PERNAMBUCO;Cédulas - 1a. família;5.00;475,00
2005;PERNAMBUCO;Cédulas - em polímero;10.00;87,00
2005;PERNAMBUCO;Cédulas - 1a. família;10.00;1.376,00
2005;PERNAMBUCO;Cédulas - 1a. família;20.00;2.441,00
2005;PERNAMBUCO;Cédulas - 1a. família;50.00;6.690,00
2005;PERNAMBUCO;Cédulas - 1a. família;100.00;22,00
2005;PIAUÍ;Cédulas - 1a. família;1.00;3,00
2005;PIAUÍ;Cédulas - 1a. família;2.00;8,00
2005;PIAUÍ;Cédulas - 1a. família;5.00;363,00
2005;PIAUÍ;Cédulas - em polímero;10.00;45,00
2005;PIAUÍ;Cédulas - 1a. família;10.00;694,00
2005;PIAUÍ;Cédulas - 1a. família;20.00;299,00
2005;PIAUÍ;Cédulas - 1a. família;50.00;2.443,00
2005;PIAUÍ;Cédulas - 1a. família;100.00;7,00
2005;RIO DE JANEIRO;Cédulas - 1a. família;1.00;30,00
2005;RIO DE JANEIRO;Cédulas - 1a. família;2.00;56,00
2005;RIO DE JANEIRO;Cédulas - 1a. família;5.00;1.547,00
2005;RIO DE JANEIRO;Cédulas - em polímero;10.00;433,00
2005;RIO DE JANEIRO;Cédulas - 1a. família;10.00;12.646,00
2005;RIO DE JANEIRO;Cédulas - 1a. família;20.00;3.980,00
2005;RIO DE JANEIRO;Cédulas - 1a. família;50.00;25.698,00
2005;RIO DE JANEIRO;Cédulas - 1a. família;100.00;2.430,00
2005;RIO GRANDE DO NORTE;Cédulas - 1a. família;1.00;1,00
2005;RIO GRANDE DO NORTE;Cédulas - 1a. família;2.00;11,00
2005;RIO GRANDE DO NORTE;Cédulas - 1a. família;5.00;220,00
2005;RIO GRANDE DO NORTE;Cédulas - em polímero;10.00;22,00
2005;RIO GRANDE DO NORTE;Cédulas - 1a. família;10.00;541,00
2005;RIO GRANDE DO NORTE;Cédulas - 1a. família;20.00;166,00
2005;RIO GRANDE DO NORTE;Cédulas - 1a. família;50.00;1.462,00
2005;RIO GRANDE DO NORTE;Cédulas - 1a. família;100.00;9,00
2005;RIO GRANDE DO SUL;Cédulas - 1a. família;1.00;17,00
2005;RIO GRANDE DO SUL;Cédulas - 1a. família;2.00;94,00
2005;RIO GRANDE DO SUL;Cédulas - 1a. família;5.00;2.345,00
2005;RIO GRANDE DO SUL;Cédulas - em polímero;10.00;207,00
2005;RIO GRANDE DO SUL;Cédulas - 1a. família;10.00;8.763,00
2005;RIO GRANDE DO SUL;Cédulas - 1a. família;20.00;2.340,00
2005;RIO GRANDE DO SUL;Cédulas - 1a. família;50.00;20.034,00
2005;RIO GRANDE DO SUL;Cédulas - 1a. família;100.00;558,00
2005;RONDÔNIA;Cédulas - 1a. família;2.00;2,00
2005;RONDÔNIA;Cédulas - 1a. família;5.00;76,00
2005;RONDÔNIA;Cédulas - em polímero;10.00;37,00
2005;RONDÔNIA;Cédulas - 1a. família;10.00;188,00
2005;RONDÔNIA;Cédulas - 1a. família;20.00;303,00
2005;RONDÔNIA;Cédulas - 1a. família;50.00;1.194,00
2005;RONDÔNIA;Cédulas - 1a. família;100.00;65,00
2005;RORAIMA;Cédulas - 1a. família;5.00;6,00
2005;RORAIMA;Cédulas - em polímero;10.00;197,00
2005;RORAIMA;Cédulas - 1a. família;10.00;14,00
2005;RORAIMA;Cédulas - 1a. família;20.00;1,00
2005;RORAIMA;Cédulas - 1a. família;50.00;60,00
2005;RORAIMA;Cédulas - 1a. família;100.00;39,00
2005;SANTA CATARINA;Cédulas - 1a. família;1.00;7,00
2005;SANTA CATARINA;Cédulas - 1a. família;2.00;12,00
2005;SANTA CATARINA;Cédulas - 1a. família;5.00;372,00
2005;SANTA CATARINA;Cédulas - em polímero;10.00;479,00
2005;SANTA CATARINA;Cédulas - 1a. família;10.00;1.004,00
2005;SANTA CATARINA;Cédulas - 1a. família;20.00;413,00
2005;SANTA CATARINA;Cédulas - 1a. família;50.00;5.899,00
2005;SANTA CATARINA;Cédulas - 1a. família;100.00;236,00
